config_id,best_file,best_rtt,num_tasks,connection_probability,client_percentage,server_percentage,dnn1_per_server,dnn1_per_client,dnn1_initial_queue,dnn2_initial_queue
ds_0051,simulation_1_placement_69d42e5c066dbb54_d05e946e.json,0.9034774595246586,245,0.05,0.4,0.8,2,1,0,0
ds_0052,simulation_1_placement_69d42e5c066dbb54_d05e946e.json,0.9034774595246586,245,0.05,0.4,0.8,2,1,0,0
ds_0053,simulation_1_placement_69d42e5c066dbb54_d05e946e.json,0.9034774595246586,245,0.05,0.4,0.8,2,1,0,0
ds_0054,simulation_1_placement_69d42e5c066dbb54_d05e946e.json,0.9034774595246586,245,0.05,0.4,0.8,2,1,0,0
ds_0055,simulation_1_placement_69d42e5c066dbb54_d05e946e.json,0.9034774595246586,245,0.05,0.4,0.8,2,1,0,0
ds_0056,simulation_1_placement_69d42e5c066dbb54_d05e946e.json,0.9034774595246586,245,0.05,0.4,0.8,2,1,0,0
ds_0057,simulation_1_placement_69d42e5c066dbb54_d05e946e.json,0.9034774595246586,245,0.05,0.4,0.8,2,1,0,0
ds_0058,simulation_1_placement_69d42e5c066dbb54_d05e946e.json,0.9034774595246586,245,0.05,0.4,0.8,2,1,0,0
ds_0059,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0060,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0061,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0062,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0063,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0064,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0065,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0066,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0067,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0068,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0069,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0070,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
