dataset_id,num_tasks,task_ids,optimal_rtt,placement_plan,task_types
ds_00293,5,"(0, 1, 2, 3, 4)",3.2703502071177777,"{'0': [14, 69], '1': [13, 66], '2': [1, 7], '3': [4, 22], '4': [14, 71]}","{0: 'dnn1', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00970,5,"(0, 1, 2, 3, 4)",6.320800490664962,"{'0': [11, 54], '1': [13, 65], '2': [14, 69], '3': [1, 5], '4': [17, 84]}","{0: 'dnn2', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00119,5,"(0, 1, 2, 3, 4)",1.1601989275177536,"{'0': [11, 54], '1': [3, 15], '2': [13, 64], '3': [2, 14], '4': [11, 56]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00785,5,"(0, 1, 2, 3, 4)",3.096696041562803,"{'0': [0, 2], '1': [16, 80], '2': [4, 22], '3': [1, 9], '4': [11, 57]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_01110,5,"(0, 1, 2, 3, 4)",4.616137941751257,"{'0': [14, 71], '1': [11, 56], '2': [11, 55], '3': [1, 7], '4': [17, 86]}","{0: 'dnn2', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00493,5,"(0, 1, 2, 3, 4)",1.942857708727069,"{'0': [14, 68], '1': [17, 86], '2': [1, 7], '3': [4, 21], '4': [13, 66]}","{0: 'dnn1', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00992,5,"(0, 1, 2, 3, 4)",2.823657036901256,"{'0': [12, 63], '1': [11, 57], '2': [17, 87], '3': [4, 22], '4': [14, 71]}","{0: 'dnn1', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00875,5,"(0, 1, 2, 3, 4)",2.5140167581586446,"{'0': [16, 80], '1': [5, 29], '2': [4, 22], '3': [1, 6], '4': [14, 70]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00127,5,"(0, 1, 2, 3, 4)",1.890226972304215,"{'0': [11, 54], '1': [15, 78], '2': [13, 65], '3': [13, 67], '4': [4, 21]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn2', 4: 'dnn2'}"
ds_01016,5,"(0, 1, 2, 3, 4)",1.0641124756076168,"{'0': [1, 4], '1': [16, 81], '2': [14, 70], '3': [14, 72], '4': [11, 57]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn2', 4: 'dnn2'}"
ds_00068,5,"(0, 1, 2, 3, 4)",1.1240773375484823,"{'0': [0, 1], '1': [1, 4], '2': [16, 79], '3': [2, 14], '4': [14, 70]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00737,5,"(0, 1, 2, 3, 4)",2.426237118646177,"{'0': [17, 83], '1': [16, 80], '2': [13, 65], '3': [11, 56], '4': [17, 85]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn2', 4: 'dnn2'}"
ds_00934,5,"(0, 1, 2, 3, 4)",1.2526878665582413,"{'0': [2, 14], '1': [0, 0], '2': [14, 71], '3': [11, 55], '4': [17, 86]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00743,5,"(0, 1, 2, 3, 4)",2.1849449018553293,"{'0': [7, 34], '1': [6, 33], '2': [1, 6], '3': [4, 21], '4': [11, 58]}","{0: 'dnn1', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00979,5,"(0, 1, 2, 3, 4)",1.7747053405263262,"{'0': [13, 65], '1': [3, 15], '2': [14, 69], '3': [2, 14], '4': [14, 71]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_01040,5,"(0, 1, 2, 3, 4)",1.0303111142619952,"{'0': [14, 71], '1': [17, 86], '2': [10, 51], '3': [1, 6], '4': [14, 70]}","{0: 'dnn2', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
